train epoch: 45 batch: 16000 cost: 0.358237
train epoch: 46 batch: 0 cost: 0.332603
train epoch: 46 batch: 4000 cost: 0.342034
train epoch: 46 batch: 8000 cost: 0.352148
train epoch: 46 batch: 12000 cost: 0.311205
train epoch: 46 batch: 16000 cost: 0.325325
train epoch: 47 batch: 0 cost: 0.334949
train epoch: 47 batch: 4000 cost: 0.315278
train epoch: 47 batch: 8000 cost: 0.310836
train epoch: 47 batch: 12000 cost: 0.340389
train epoch: 47 batch: 16000 cost: 0.324171
train epoch: 48 batch: 0 cost: 0.296875
train epoch: 48 batch: 4000 cost: 0.294978
train epoch: 48 batch: 8000 cost: 0.289424
train epoch: 48 batch: 12000 cost: 0.279573
train epoch: 48 batch: 16000 cost: 0.286112
train epoch: 49 batch: 0 cost: 0.302941
train epoch: 49 batch: 4000 cost: 0.342825
train epoch: 49 batch: 8000 cost: 0.336229
train epoch: 49 batch: 12000 cost: 0.304586
train epoch: 49 batch: 16000 cost: 0.292346
train epoch: 50 batch: 0 cost: 0.327593
train epoch: 50 batch: 4000 cost: 0.261914
train epoch: 50 batch: 8000 cost: 0.31413
train epoch: 50 batch: 12000 cost: 0.289068
train epoch: 50 batch: 16000 cost: 0.285386
train epoch: 51 batch: 0 cost: 0.303079
train epoch: 51 batch: 4000 cost: 0.273949
train epoch: 51 batch: 8000 cost: 0.262257
train epoch: 51 batch: 12000 cost: 0.272684
train epoch: 51 batch: 16000 cost: 0.277261
train epoch: 52 batch: 0 cost: 0.258059
train epoch: 52 batch: 4000 cost: 0.251577
train epoch: 52 batch: 8000 cost: 0.261648
train epoch: 52 batch: 12000 cost: 0.250692
train epoch: 52 batch: 16000 cost: 0.248137
train epoch: 53 batch: 0 cost: 0.250592
train epoch: 53 batch: 4000 cost: 0.250912
train epoch: 53 batch: 8000 cost: 0.290609
train epoch: 53 batch: 12000 cost: 0.292468
train epoch: 53 batch: 16000 cost: 0.250105
train epoch: 54 batch: 0 cost: 0.276298
train epoch: 54 batch: 4000 cost: 0.256256
train epoch: 54 batch: 8000 cost: 0.236145
train epoch: 54 batch: 12000 cost: 0.25365
train epoch: 54 batch: 16000 cost: 0.26519
train epoch: 55 batch: 0 cost: 0.253261
train epoch: 55 batch: 4000 cost: 0.236069
train epoch: 55 batch: 8000 cost: 0.233092
train epoch: 55 batch: 12000 cost: 0.252171
train epoch: 55 batch: 16000 cost: 0.250348
train epoch: 56 batch: 0 cost: 0.24169
train epoch: 56 batch: 4000 cost: 0.218966
train epoch: 56 batch: 8000 cost: 0.248825
train epoch: 56 batch: 12000 cost: 0.268623
train epoch: 56 batch: 16000 cost: 0.27382
train epoch: 57 batch: 0 cost: 0.248389
train epoch: 57 batch: 4000 cost: 0.251089
train epoch: 57 batch: 8000 cost: 0.254529
train epoch: 57 batch: 12000 cost: 0.233768
train epoch: 57 batch: 16000 cost: 0.26836
train epoch: 58 batch: 0 cost: 0.242309
train epoch: 58 batch: 4000 cost: 0.240454
train epoch: 58 batch: 8000 cost: 0.226109
train epoch: 58 batch: 12000 cost: 0.229585
train epoch: 58 batch: 16000 cost: 0.236654
