train epoch: 35 batch: 4000 cost: 0.316318
train epoch: 35 batch: 8000 cost: 0.316038
train epoch: 35 batch: 12000 cost: 0.338999
train epoch: 35 batch: 16000 cost: 0.344465
train epoch: 36 batch: 0 cost: 0.315217
train epoch: 36 batch: 4000 cost: 0.299392
train epoch: 36 batch: 8000 cost: 0.30622
train epoch: 36 batch: 12000 cost: 0.276966
train epoch: 36 batch: 16000 cost: 0.288521
train epoch: 37 batch: 0 cost: 0.290922
train epoch: 37 batch: 4000 cost: 0.271121
train epoch: 37 batch: 8000 cost: 0.262093
train epoch: 37 batch: 12000 cost: 0.287271
train epoch: 37 batch: 16000 cost: 0.311335
train epoch: 38 batch: 0 cost: 0.306347
train epoch: 38 batch: 4000 cost: 0.277176
train epoch: 38 batch: 8000 cost: 0.248014
train epoch: 38 batch: 12000 cost: 0.271872
train epoch: 38 batch: 16000 cost: 0.251452
train epoch: 39 batch: 0 cost: 0.246374
train epoch: 39 batch: 4000 cost: 0.278912
train epoch: 39 batch: 8000 cost: 0.255771
train epoch: 39 batch: 12000 cost: 0.230948
train epoch: 39 batch: 16000 cost: 0.242438
train epoch: 40 batch: 0 cost: 0.276227
train epoch: 40 batch: 4000 cost: 0.272726
train epoch: 40 batch: 8000 cost: 0.244493
train epoch: 40 batch: 12000 cost: 0.222703
train epoch: 40 batch: 16000 cost: 0.230732
train epoch: 41 batch: 0 cost: 0.241634
train epoch: 41 batch: 4000 cost: 0.22633
train epoch: 41 batch: 8000 cost: 0.211308
train epoch: 41 batch: 12000 cost: 0.225657
train epoch: 41 batch: 16000 cost: 0.209464
train epoch: 42 batch: 0 cost: 0.213221
train epoch: 42 batch: 4000 cost: 0.230108
train epoch: 42 batch: 8000 cost: 0.298511
train epoch: 42 batch: 12000 cost: 0.441983
train epoch: 42 batch: 16000 cost: 0.258873
train epoch: 43 batch: 0 cost: 0.305941
train epoch: 43 batch: 4000 cost: 0.291613
train epoch: 43 batch: 8000 cost: 0.246258
train epoch: 43 batch: 12000 cost: 0.257059
train epoch: 43 batch: 16000 cost: 0.250723
train epoch: 44 batch: 0 cost: 0.243633
train epoch: 44 batch: 4000 cost: 0.252125
train epoch: 44 batch: 8000 cost: 0.225164
train epoch: 44 batch: 12000 cost: 0.225731
train epoch: 44 batch: 16000 cost: 0.234429
train epoch: 45 batch: 0 cost: 0.212585
train epoch: 45 batch: 4000 cost: 0.220156
train epoch: 45 batch: 8000 cost: 0.196384
train epoch: 45 batch: 12000 cost: 0.19706
train epoch: 45 batch: 16000 cost: 0.196654
train epoch: 46 batch: 0 cost: 0.195158
train epoch: 46 batch: 4000 cost: 0.205103
train epoch: 46 batch: 8000 cost: 0.180117
train epoch: 46 batch: 12000 cost: 0.19244
train epoch: 46 batch: 16000 cost: 0.198549
train epoch: 47 batch: 0 cost: 0.180915
train epoch: 47 batch: 4000 cost: 0.188271
train epoch: 47 batch: 8000 cost: 0.186514
train epoch: 47 batch: 12000 cost: 0.198842
train epoch: 47 batch: 16000 cost: 0.178663
train epoch: 48 batch: 0 cost: 0.17932
train epoch: 48 batch: 4000 cost: 0.204866
train epoch: 48 batch: 8000 cost: 0.175469
train epoch: 48 batch: 12000 cost: 0.161851
train epoch: 48 batch: 16000 cost: 0.163812
train epoch: 49 batch: 0 cost: 0.16686
train epoch: 49 batch: 4000 cost: 0.167861
train epoch: 49 batch: 8000 cost: 0.148005
train epoch: 49 batch: 12000 cost: 0.147115
train epoch: 49 batch: 16000 cost: 0.162799
train epoch: 50 batch: 0 cost: 0.188201
train epoch: 50 batch: 4000 cost: 0.261745
train epoch: 50 batch: 8000 cost: 0.353239
train epoch: 50 batch: 12000 cost: 0.222842
train epoch: 50 batch: 16000 cost: 0.21419
train epoch: 51 batch: 0 cost: 0.257574
train epoch: 51 batch: 4000 cost: 0.240737
train epoch: 51 batch: 8000 cost: 0.223628
train epoch: 51 batch: 12000 cost: 0.189607
train epoch: 51 batch: 16000 cost: 0.19213
train epoch: 52 batch: 0 cost: 0.203308
train epoch: 52 batch: 4000 cost: 0.187668
train epoch: 52 batch: 8000 cost: 0.173643
train epoch: 52 batch: 12000 cost: 0.179874
train epoch: 52 batch: 16000 cost: 0.171014
train epoch: 53 batch: 0 cost: 0.16685
train epoch: 53 batch: 4000 cost: 0.17038
train epoch: 53 batch: 8000 cost: 0.149884
train epoch: 53 batch: 12000 cost: 0.14792
train epoch: 53 batch: 16000 cost: 0.156623
train epoch: 54 batch: 0 cost: 0.143722
train epoch: 54 batch: 4000 cost: 0.160724
train epoch: 54 batch: 8000 cost: 0.140027
train epoch: 54 batch: 12000 cost: 0.131019
train epoch: 54 batch: 16000 cost: 0.130267
train epoch: 55 batch: 0 cost: 0.133017
train epoch: 55 batch: 4000 cost: 0.133008
train epoch: 55 batch: 8000 cost: 0.118377
train epoch: 55 batch: 12000 cost: 0.117692
train epoch: 55 batch: 16000 cost: 0.117487
train epoch: 56 batch: 0 cost: 0.127202
train epoch: 56 batch: 4000 cost: 0.13766
train epoch: 56 batch: 8000 cost: 0.123472
train epoch: 56 batch: 12000 cost: 0.107369
train epoch: 56 batch: 16000 cost: 0.136339
train epoch: 57 batch: 0 cost: 0.139747
train epoch: 57 batch: 4000 cost: 0.112095
train epoch: 57 batch: 8000 cost: 0.152111
train epoch: 57 batch: 12000 cost: 0.205535
train epoch: 57 batch: 16000 cost: 0.140148
train epoch: 58 batch: 0 cost: 0.145731
train epoch: 58 batch: 4000 cost: 0.217935
train epoch: 58 batch: 8000 cost: 0.109437
train epoch: 58 batch: 12000 cost: 0.154667
train epoch: 58 batch: 16000 cost: 0.115323
train epoch: 59 batch: 0 cost: 0.145459
train epoch: 59 batch: 4000 cost: 0.136013
train epoch: 59 batch: 8000 cost: 0.122864
train epoch: 59 batch: 12000 cost: 0.124405
train epoch: 59 batch: 16000 cost: 0.123481
train epoch: 60 batch: 0 cost: 0.126271
train epoch: 60 batch: 4000 cost: 0.111916
train epoch: 60 batch: 8000 cost: 0.111145
train epoch: 60 batch: 12000 cost: 0.0923554
train epoch: 60 batch: 16000 cost: 0.0972319
train epoch: 61 batch: 0 cost: 0.0941067
train epoch: 61 batch: 4000 cost: 0.0963846
train epoch: 61 batch: 8000 cost: 0.0928153
train epoch: 61 batch: 12000 cost: 0.0785586
